CD,human_gene_name,mouse_gene_name
CD167,DDR1,Ddr1
CD167,DDR2,Ddr2
CD168,HMMR,Hmmr
CD169,SIGLEC1,Siglec1
CD170,SIGLEC5,-
CD171,L1CAM,L1cam
CD172,SIRPA,Sirpa
CD172,SIRPB1,Sirpb1a
CD172,SIRPB1,LOC100038947
CD172,SIRPB1,Sirpb1b
CD172,SIRPB2,-
CD174,FUT3,-
CD177,CD177,Cd177
CD178,FASLG,Fasl
CD179,VPREB1,Vpreb2
CD179,VPREB1,Vpreb1
CD179,IGLL1,Igll1
CD180,CD180,Cd180
CD181,CXCR1,Cxcr1
CD182,CXCR2,Cxcr2
CD183,CXCR3,Cxcr3
CD184,CXCR4,Cxcr4
CD185,CXCR5,Cxcr5
CD186,CXCR6,Cxcr6
CD191,CCR1,Ccr1
CD192,CCR2,Ccr2
CD193,CCR3,Ccr3
CD194,CCR4,Ccr4
CD195,CCR5,Ccr5
CD196,CCR6,Ccr6
CD197,CCR7,Ccr7
CD198,CCR8,Ccr8
CD199,CCR9,Ccr9
CD200,CD200,Cd200
CD201,PROCR,Procr
CD202,TEK,Tek
CD203,ENPP3,Enpp3
CD204,MSR1,Msr1
CD205,LY75,Ly75
CD206,MRC1,Mrc1
CD207,CD207,Cd207
CD208,LAMP3,Lamp3
CD209,CD209,Cd209e
CD210,IL10RA,Il10ra
CD210,IL10RB,Il10rb
CD212,IL12RB1,Il12rb1
CD213,IL13RA1,Il13ra1
CD213,IL13RA2,Il13ra2
CD215,IL15RA,Il15ra
CD217,IL17RA,Il17ra
CD218,IL18R1,Il18r1
CD218,IL18RAP,Il18rap
CD220,INSR,Insr
CD221,IGF1R,Igf1r
CD222,IGF2R,Igf2r
CD223,LAG3,Lag3
CD224,GGT1,Ggt1
CD225,IFITM1,-
CD226,CD226,Cd226
CD227,MUC1,-
CD228,MELTF,-
CD229,LY9,Ly9
CD230,PRNP,Prnp
CD231,TSPAN7,Tspan7
CD232,PLXNC1,Plxnc1
CD233,SLC4A1,Slc4a1
CD234,ACKR1,-
CD235,GYPA,-
CD235,GYPB,-
CD236,GYPC,Gypc
CD238,KEL,Kel
CD239,BCAM,Bcam
CD240,RHCE,Rhd
CD240,RHD,Rhd
CD241,RHAG,Rhag
CD242,ICAM4,Icam4
CD243,ABCB1,Abcb1a
CD244,CD244,Cd244
CD246,ALK,Alk
CD247,CD247,Cd247
CD248,CD248,Cd248
CD249,ENPEP,Enpep
CD252,TNFSF4,Tnfsf4
CD253,TNFSF10,Tnfsf10
CD254,TNFSF11,Tnfsf11
CD256,TNFSF13,Tnfsf13
CD257,TNFSF13B,Tnfsf13b
CD258,TNFSF14,Tnfsf14
CD261,TNFRSF10A,Tnfrsf10b
CD262,TNFRSF10B,-
CD263,TNFRSF10C,-
CD264,TNFRSF10D,-
CD265,TNFRSF11A,Tnfrsf11a
CD266,TNFRSF12A,Tnfrsf12a
CD267,TNFRSF13B,Tnfrsf13b
CD268,TNFRSF13C,Tnfrsf13c
CD269,TNFRSF17,Tnfrsf17
CD270,TNFRSF14,Tnfrsf14
CD271,NGFR,Ngfr
CD272,BTLA,Btla
CD273,PDCD1LG2,Pdcd1lg2
CD274,CD274,Cd274
CD275,ICOSLG,Icosl
CD276,CD276,Cd276
CD277,BTN3A1,-
CD278,ICOS,Icos
CD279,PDCD1,Pdcd1
CD280,MRC2,Mrc2
CD281,TLR1,Tlr1
CD282,TLR2,Tlr2
CD283,TLR3,Tlr3
CD284,TLR4,Tlr4
CD286,TLR6,Tlr6
CD288,TLR8,Tlr8
CD289,TLR9,Tlr9
CD290,TLR10,-
CD292,BMPR1A,Bmpr1a
CD293,BMPR1B,Bmpr1b
CD294,PTGDR2,Gpr44
CD295,LEPR,Lepr
CD296,ART1,Art1
CD297,ART4,Art4
CD298,ATP1B3,Atp1b3
CD299,CLEC4M,Cd209a
CD300,CD300A,Cd300a
CD300,CD300c,-
CD301,CLEC10A,Mgl2
CD301,CLEC10A,Clec10a
CD302,CD302,Cd302
CD303,CLEC4C,Clec4b1
CD304,NRP1,Nrp1
CD305,LAIR1,Lair1
CD306,LAIR2,-
CD307,FCRL1,Fcrl1
CD307,FCRL2,-
CD307,FCRL3,-
CD307,FCRL4,-
CD307,FCRL5,Fcrl5
CD309,KDR,Kdr
CD312,ADGRE2,-
CD314,KLRK1,-
CD315,PTGFRN,Ptgfrn
CD316,IGSF8,Igsf8
CD317,BST2,-
CD318,CDCP1,Cdcp1
CD319,SLAMF7,Slamf7
CD320,CD320,Cd320
CD321,F11R,F11r
CD322,JAM2,Jam2
CD324,CDH1,Cdh1
CD325,CDH2,Cdh2
CD326,EPCAM,Epcam
CD327,SIGLEC6,-
CD328,SIGLEC7,-
CD329,SIGLEC9,Siglece
CD331,FGFR1,Fgfr1
CD332,FGFR2,Fgfr2
CD333,FGFR3,Fgfr3
CD334,FGFR4,Fgfr4
CD335,NCR1,Ncr1
CD336,NCR2,-
CD337,NCR3,-
CD338,ABCG2,Abcg2
CD339,JAG1,Jag1
CD340,ERBB2,Erbb2
CD344,FZD4,Fzd4
CD349,FZD9,Fzd9
CD350,FZD10,Fzd10
CD351,FCAMR,Fcamr
CD352,SLAMF6,Slamf6
CD353,SLAMF8,Slamf8
CD354,TREM1,Trem1
CD355,CRTAM,Crtam
CD357,TNFRSF18,Tnfrsf18
CD358,TNFRSF21,Tnfrsf21
CD360,IL21R,Il21r
CD361,EVI2B,Evi2b
CD361,EVI2B,Evi2a-evi2b
CD362,SDC2,Sdc2
CD363,S1PR1,S1pr1
CD364,PI16,Pi16
CD365,HAVCR1,-
CD366,HAVCR2,Havcr2
CD367,CLEC4A,Clec4a2
CD368,CLEC4D,Clec4d
CD369,CLEC7A,Clec7a
CD370,CLEC9A,Clec9a
CD371,CLEC12A,Clec12a
